id;nombre;tipo;comuna;barrio;longitud_m;anio;turno;cantidadFrecuencia
8149;ALVEAR, MARCELO T. DE;Ciclovías mano doble;1;Retiro;63.74;2024;mañana;73
13166;CEVALLOS, VIRREY;Ciclovías mano doble;1;Monserrat;97.07;2024;mañana;172
2227;PEDRAZA, MANUELA;Ciclovías mano doble;12;Villa Urquiza;102.25;2024;mañana;28
12472;DIAZ, CESAR, GRAL.;Ciclovías mano doble;11;Villa Gral. Mitre;134.76;2024;mañana;48
18338;HUGO, VICTOR;Ciclovías mano doble;10;Villa Luro;118.95;2024;mañana;25
11860;ALSINA, ADOLFO;Ciclovías mano única;1;Monserrat;37.35;2024;mañana;0
6668;GRIVEO;Ciclovías mano doble;11;Villa Devoto;89.32;2024;mañana;33
9383;PADILLA;Ciclovías mano doble;15;Villa Crespo;97.64;2024;mañana;130
14966;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;113.78;2024;mañana;122
15272;BOLIVAR;Ciclovías mano doble;1;San Telmo;138.59;2024;mañana;25
5905;ROSETI;Ciclovías mano doble;15;Chacarita;105.39;2024;mañana;67
4704;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;33.61;2024;mañana;245
21292;RODO, JOSE E.;Ciclovías mano doble;9;Parque Avellaneda;92.18;2024;mañana;13
6738;GORRITI;Ciclovías mano doble;14;Palermo;113.53;2024;mañana;110
20669;RODO, JOSE E.;Ciclovías mano doble;9;Parque Avellaneda;265.21;2024;mañana;13
2916;ECHEVERRIA;Ciclovías mano doble;13;Belgrano;125.58;2024;mañana;78
5821;GRIVEO;Ciclovías mano doble;12;Villa Pueyrredon;73.01;2024;mañana;33
7129;GRIVEO;Ciclovías mano doble;11;Villa Devoto;51.85;2024;mañana;33
14689;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;87.00;2024;mañana;122
19643;USPALLATA;Ciclovías mano doble;4;Parque Patricios;156.00;2024;mañana;0
16861;LINIERS VIRREY;Ciclovías mano doble;5;Boedo;117.01;2024;mañana;0
17994;USPALLATA;Ciclovías mano doble;4;Barracas;134.63;2024;mañana;0
7167;SUIPACHA;Ciclovías mano doble;1;Retiro;165.90;2024;mañana;214
23251;RODO, JOSE E.;Ciclovías mano doble;9;Mataderos;59.53;2024;mañana;13
16624;TACUARI;Ciclovías mano doble;1;Constitucion;125.23;2024;mañana;215
14030;MENDEZ DE ANDES;Ciclovías mano doble;6;Caballito;106.78;2024;mañana;108
13347;GARCIA, JUAN AGUSTIN;Ciclovías mano doble;11;Villa Santa Rita;98.20;2024;mañana;29
16780;MORON;Ciclovías mano doble;10;Floresta;83.19;2024;mañana;55
5663;ALVAREZ, JULIAN;Ciclovías mano doble;14;Palermo;126.54;2024;mañana;86
7249;MONTEVIDEO;Ciclovías mano doble;2;Recoleta;135.48;2024;mañana;165
2040;TRONADOR;Ciclovías mano doble;12;Coghlan;57.93;2024;mañana;5
28003;RODO, JOSE E.;Ciclovías mano doble;9;Parque Avellaneda;25.19;2024;mañana;13
4763;GUATEMALA;Ciclovías mano doble;14;Palermo;129.61;2024;mañana;86
20999;HORNOS, GRAL.;Ciclovías mano doble;4;Barracas;67.36;2024;mañana;48
9349;OROÑO, NICASIO;Ciclovías mano doble;15;Paternal;118.42;2024;mañana;9
8362;ALVEAR, MARCELO T. DE;Ciclovías mano doble;2;Recoleta;143.15;2024;mañana;73
14453;CEVALLOS, VIRREY;Ciclovías mano doble;1;Constitucion;131.09;2024;mañana;172
11654;CEVALLOS, VIRREY;Ciclovías mano doble;1;Monserrat;111.58;2024;mañana;172
23113;POLA;Ciclovías mano doble;9;Mataderos;137.27;2024;mañana;39
14778;GONZALEZ, ELPIDIO;Ciclovías mano doble;10;Monte Castro;110.72;2024;mañana;27
21557;PEDERNERA;Ciclovías mano doble;7;Flores;120.95;2024;mañana;8
18971;USPALLATA;Ciclovías mano doble;4;Barracas;109.55;2024;mañana;0
3525;LA PAMPA;Ciclovías mano doble;13;Belgrano;27.57;2024;mañana;245
14829;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;159.23;2024;mañana;122
2132;ECHEVERRIA;Ciclovías mano doble;13;Belgrano;102.33;2024;mañana;78
9014;TUCUMAN;Ciclovías mano doble;5;Almagro;117.30;2024;mañana;125
12112;TRES ARROYOS;Ciclovías mano doble;11;Villa Gral. Mitre;72.68;2024;mañana;145
16907;BONIFACIO, JOSE;Ciclovías mano doble;6;Caballito;76.06;2024;mañana;37
827;CUBA;Ciclovías mano doble;13;Nuñez;100.95;2024;mañana;9
13439;CHILE;Ciclovías mano doble;1;Monserrat;40.07;2024;mañana;88
2290;AMENABAR;Ciclovías mano doble;13;Belgrano;129.00;2024;mañana;76
16130;DOBLAS;Ciclovías mano doble;6;Caballito;81.08;2024;mañana;59
3505;LA PAMPA;Ciclovías mano doble;13;Belgrano;125.42;2024;mañana;245
18099;15 DE NOVIEMBRE DE 1889;Ciclovías mano doble;4;Parque Patricios;118.63;2024;mañana;28
6259;HUMBOLDT;Ciclovías mano doble;14;Palermo;153.91;2024;mañana;226
14732;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;95.45;2024;mañana;122
18254;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;54.49;2024;mañana;23
16534;MORON;Ciclovías mano doble;10;Floresta;120.39;2024;mañana;55
9605;TUCUMAN;Ciclovías mano doble;3;Balvanera;118.81;2024;mañana;125
17767;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Boedo;122.47;2024;mañana;52
15216;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;136.89;2024;mañana;122
14326;MEXICO;Ciclovías mano doble;5;Almagro;122.63;2024;mañana;130
21738;PRIMERA JUNTA;Ciclovías mano doble;9;Parque Avellaneda;123.77;2024;mañana;8
6705;FRENCH;Ciclovías mano doble;2;Recoleta;128.39;2024;mañana;70
13776;DOBLAS;Ciclovías mano doble;6;Caballito;140.99;2024;mañana;59
12572;CHIVILCOY;Ciclovías mano doble;10;Monte Castro;118.90;2024;mañana;70
19972;PEDERNERA;Ciclovías mano doble;7;Flores;73.11;2024;mañana;8
5384;GORRITI;Ciclovías mano doble;14;Palermo;129.55;2024;mañana;110
8324;URIBURU JOSE E., PRES.;Ciclovías mano doble;2;Recoleta;186.84;2024;mañana;106
14640;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;127.36;2024;mañana;122
1237;QUESADA;Ciclovías mano doble;13;Nuñez;66.33;2024;mañana;29
13091;RINCON;Ciclovías mano doble;3;Balvanera;124.19;2024;mañana;0
12448;TACUARI;Ciclovías mano doble;1;Monserrat;134.04;2024;mañana;215
4768;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;72.33;2024;mañana;245
5814;ROSETI;Ciclovías mano doble;15;Chacarita;109.71;2024;mañana;67
17533;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;64.60;2024;mañana;23
2726;AMENABAR;Ciclovías mano doble;13;Belgrano;110.27;2024;mañana;76
2321;11 DE SEPTIEMBRE DE 1888;Ciclovías mano doble;13;Belgrano;126.59;2024;mañana;20
17089;BRASIL;Ciclovías mano doble;4;Parque Patricios;75.75;2024;mañana;41
30232;BLANCO ENCALADA;Ciclovías mano doble;13;Belgrano;42.22;2024;mañana;76
5639;GRIVEO;Ciclovías mano doble;12;Villa Pueyrredon;128.75;2024;mañana;33
416;SUPERI;Ciclovías mano doble;12;Saavedra;100.38;2024;mañana;245
8295;ALVEAR, MARCELO T. DE;Ciclovías mano doble;1;Retiro;139.05;2024;mañana;73
10333;SARMIENTO;Ciclovías mano doble;1;San Nicolas;126.72;2024;mañana;85
2530;ECHEVERRIA;Ciclovías mano doble;13;Belgrano;100.61;2024;mañana;78
1972;ECHEVERRIA;Ciclovías mano doble;13;Belgrano;103.15;2024;mañana;78
7515;ECUADOR;Ciclovías mano doble;2;Recoleta;93.22;2024;mañana;86
12797;LINIERS VIRREY;Ciclovías mano doble;5;Almagro;139.08;2024;mañana;0
12779;GARCIA, JUAN AGUSTIN;Ciclovías mano doble;11;Villa Santa Rita;67.52;2024;mañana;29
13574;CHILE;Ciclovías mano doble;3;Balvanera;139.36;2024;mañana;88
7810;ARENALES;Ciclovías mano doble;1;Retiro;84.71;2024;mañana;82
14384;CALVO, CARLOS;Ciclovías mano doble;1;Constitucion;125.53;2024;mañana;122
3202;MILLER;Ciclovías mano doble;12;Villa Urquiza;25.37;2024;mañana;47
17436;HUGO, VICTOR;Ciclovías mano doble;10;Villa Luro;124.96;2024;mañana;25
5072;ROSETI;Ciclovías mano doble;15;Villa Ortuzar;130.74;2024;mañana;67
11182;SUIPACHA;Ciclovías mano doble;1;San Nicolas;126.69;2024;mañana;214
11907;TRES ARROYOS;Ciclovías mano doble;11;Villa Gral. Mitre;170.10;2024;mañana;145
15090;FRAY CAYETANO RODRIGUEZ;Ciclovías mano doble;7;Flores;50.93;2024;mañana;25
13589;MEXICO;Ciclovías mano doble;3;Balvanera;137.28;2024;mañana;130
9648;URIBURU JOSE E., PRES.;Ciclovías mano doble;3;Balvanera;125.88;2024;mañana;106
17672;BILBAO, FRANCISCO;Ciclovías mano doble;7;Parque Chacabuco;97.97;2024;mañana;3
20687;BALBASTRO;Ciclovías mano doble;7;Flores;116.85;2024;mañana;9
724;CUBA;Ciclovías mano doble;13;Nuñez;100.56;2024;mañana;9
11088;ECUADOR;Ciclovías mano doble;3;Balvanera;141.37;2024;mañana;86
10157;TRES ARROYOS;Ciclovías mano doble;15;Villa Crespo;113.09;2024;mañana;145
15996;TACUARI;Ciclovías mano doble;1;Constitucion;232.63;2024;mañana;215
7711;ARENALES;Ciclovías mano doble;1;Retiro;137.33;2024;mañana;82
2142;TRONADOR;Ciclovías mano doble;12;Coghlan;132.34;2024;mañana;5
28079;SAN MARTIN;Ciclovías mano doble;1;Retiro;80.22;2024;mañana;89
17575;BILBAO, FRANCISCO;Ciclovías mano doble;7;Parque Chacabuco;104.06;2024;mañana;3
10937;BULNES;Ciclovías mano doble;5;Almagro;56.46;2024;mañana;0
10171;MONTEVIDEO;Ciclovías mano doble;1;San Nicolas;134.08;2024;mañana;165
9358;HUMAHUACA;Ciclovías mano doble;5;Almagro;144.55;2024;mañana;202
17119;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Boedo;92.56;2024;mañana;52
13277;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Almagro;118.31;2024;mañana;52
17984;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;27.28;2024;mañana;23
23723;POLA;Ciclovías mano doble;9;Mataderos;27.10;2024;mañana;39
9432;HUMAHUACA;Ciclovías mano doble;5;Almagro;135.10;2024;mañana;202
15908;VALLE;Ciclovías mano doble;6;Caballito;117.01;2024;mañana;78
6707;NUEVA YORK;Ciclovías mano doble;15;Agronomia;65.21;2024;mañana;5
12553;DON BOSCO;Ciclovías mano doble;5;Almagro;126.59;2024;mañana;49
15353;ESTADOS UNIDOS;Ciclovías mano doble;5;Boedo;133.58;2024;mañana;78
17779;LINIERS VIRREY;Ciclovías mano doble;5;Boedo;77.79;2024;mañana;0
7359;NUEVA YORK;Ciclovías mano doble;15;Agronomia;147.06;2024;mañana;5
6746;GRIVEO;Ciclovías mano doble;11;Villa Devoto;64.63;2024;mañana;33
3438;BLANCO ENCALADA;Ciclovías mano doble;12;Villa Urquiza;104.60;2024;mañana;76
1810;MILLER;Ciclovías mano doble;12;Saavedra;97.53;2024;mañana;47
17495;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;133.97;2024;mañana;23
9933;HUMAHUACA;Ciclovías mano doble;5;Almagro;128.11;2024;mañana;202
11810;FRAGATA PRES. SARMIENTO;Ciclovías mano doble;6;Caballito;125.94;2024;mañana;40
15501;SASTRE, MARCOS;Ciclovías mano doble;10;Monte Castro;52.54;2024;mañana;45
4905;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;114.05;2024;mañana;245
23273;PATRON;Ciclovías mano doble;9;Liniers;107.26;2024;mañana;48
8696;SAN MARTIN;Ciclovías mano doble;1;Retiro;78.02;2024;mañana;89
12584;AZOPARDO;Ciclovías mano doble;1;Monserrat;137.59;2024;mañana;0
2460;ECHEVERRIA;Ciclovías mano doble;13;Belgrano;100.28;2024;mañana;78
7607;ALVAREZ, JULIAN;Ciclovías mano doble;14;Palermo;109.26;2024;mañana;86
14900;GRANADEROS;Ciclovías mano doble;7;Flores;101.01;2024;mañana;108
30117;CERETTI;Ciclovías mano doble;12;Villa Urquiza;40.02;2024;mañana;29
2950;AMENABAR;Ciclovías mano doble;13;Colegiales;168.54;2024;mañana;76
12496;DON BOSCO;Ciclovías mano doble;5;Almagro;142.09;2024;mañana;49
15649;FALCON, RAMON L.,CNEL.;Ciclovías mano doble;6;Caballito;50.12;2024;mañana;9
15315;FRAGATA PRES. SARMIENTO;Ciclovías mano doble;6;Caballito;139.83;2024;mañana;40
13206;FRAGATA PRES. SARMIENTO;Ciclovías mano doble;6;Caballito;120.00;2024;mañana;40
9474;TUCUMAN;Ciclovías mano doble;3;Balvanera;94.23;2024;mañana;125
18035;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;30.88;2024;mañana;23
15561;GRANADEROS;Ciclovías mano doble;7;Flores;131.28;2024;mañana;108
17091;PAVON;Ciclovías mano doble;5;Boedo;51.78;2024;mañana;32
8122;ALVEAR, MARCELO T. DE;Ciclovías mano doble;1;Retiro;62.10;2024;mañana;73
5146;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;110.66;2024;mañana;245
4579;MARTINEZ, ENRIQUE, GRAL.;Ciclovías mano doble;13;Colegiales;92.99;2024;mañana;15
20297;PRIMERA JUNTA;Ciclovías mano doble;7;Flores;73.30;2024;mañana;8
18756;LAS CASAS;Ciclovías mano doble;5;Boedo;94.68;2024;mañana;0
15081;MORON;Ciclovías mano doble;7;Flores;106.35;2024;mañana;55
16939;BRASIL;Ciclovías mano doble;1;Constitucion;112.28;2024;mañana;41
1034;AMENABAR;Ciclovías mano doble;13;Nuñez;105.30;2024;mañana;76
17635;HUGO, VICTOR;Ciclovías mano doble;10;Villa Luro;116.99;2024;mañana;25
11955;MISIONES;Ciclovías mano doble;3;Balvanera;126.35;2024;mañana;0
32393;AZOPARDO;Ciclovías mano doble;1;Monserrat;242.14;2024;mañana;0
18612;RONDEAU;Ciclovías mano doble;4;Parque Patricios;133.77;2024;mañana;0
14557;GONZALEZ, ELPIDIO;Ciclovías mano doble;10;Monte Castro;127.15;2024;mañana;27
2103;11 DE SEPTIEMBRE DE 1888;Ciclovías mano doble;13;Belgrano;128.60;2024;mañana;20
8522;SAN MARTIN;Ciclovías mano doble;1;Retiro;54.94;2024;mañana;89
3078;PEDRAZA, MANUELA;Ciclovías mano doble;12;Villa Urquiza;52.99;2024;mañana;28
15651;VALLE;Ciclovías mano doble;6;Caballito;125.99;2024;mañana;78
1726;MILLER;Ciclovías mano doble;12;Saavedra;97.66;2024;mañana;47
9652;TUCUMAN;Ciclovías mano doble;3;Balvanera;129.33;2024;mañana;125
7608;GORRITI;Ciclovías mano doble;14;Palermo;113.41;2024;mañana;110
18211;USPALLATA;Ciclovías mano doble;4;Barracas;153.12;2024;mañana;0
5715;ROSETI;Ciclovías mano doble;15;Chacarita;129.33;2024;mañana;67
31865;SOLER;Ciclovías mano doble;14;Palermo;55.85;2024;mañana;29
1922;ECHEVERRIA;Ciclovías mano doble;13;Belgrano;7.33;2024;mañana;78
20038;BALBASTRO;Ciclovías mano doble;7;Parque Chacabuco;103.60;2024;mañana;9
17368;BOLIVAR;Ciclovías mano doble;4;Barracas;124.21;2024;mañana;25
10728;TRES ARROYOS;Ciclovías mano doble;6;Caballito;109.26;2024;mañana;145
9549;TUCUMAN;Ciclovías mano doble;1;San Nicolas;125.90;2024;mañana;125
13525;CHILE;Ciclovías mano doble;1;Monserrat;143.38;2024;mañana;88
4063;BLANCO ENCALADA;Ciclovías mano doble;12;Villa Urquiza;112.42;2024;mañana;76
13566;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Almagro;114.69;2024;mañana;52
18094;ITUZAINGO;Ciclovías mano doble;4;Barracas;78.84;2024;mañana;0
11793;LAMAS, ANDRES;Ciclovías mano doble;11;Villa Gral. Mitre;94.88;2024;mañana;53
12847;DIAZ, CESAR, GRAL.;Ciclovías mano doble;11;Villa Santa Rita;135.95;2024;mañana;48
11364;IRIGOYEN, BERNARDO DE;Ciclovías mano doble;1;Monserrat;69.56;2024;mañana;84
6546;FRENCH;Ciclovías mano doble;2;Recoleta;114.14;2024;mañana;70
7334;ECUADOR;Ciclovías mano doble;2;Recoleta;128.31;2024;mañana;86
12305;GARCIA, JUAN AGUSTIN;Ciclovías mano doble;11;Villa Santa Rita;136.76;2024;mañana;29
15221;ESTADOS UNIDOS;Ciclovías mano doble;5;Boedo;69.83;2024;mañana;78
26671;UNANUE;Ciclovías mano única;8;Villa Lugano;137.44;2024;mañana;1
10922;ACUÑA DE FIGUEROA, FRANCISCO;Ciclovías mano doble;5;Almagro;140.98;2024;mañana;74
21968;RODO, JOSE E.;Ciclovías mano doble;9;Parque Avellaneda;58.64;2024;mañana;13
11899;ALSINA, ADOLFO;Ciclovías mano única;1;Monserrat;138.19;2024;mañana;0
18560;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Boedo;142.85;2024;mañana;52
5393;CERETTI;Ciclovías mano doble;12;Villa Urquiza;78.59;2024;mañana;29
3260;MOLDES;Ciclovías mano doble;13;Colegiales;44.30;2024;mañana;43
21593;RODO, JOSE E.;Ciclovías mano doble;9;Parque Avellaneda;40.66;2024;mañana;13
7438;GRIVEO;Ciclovías mano doble;11;Villa Devoto;147.49;2024;mañana;33
13594;CHILE;Ciclovías mano doble;3;Balvanera;124.90;2024;mañana;88
23680;POLA;Ciclovías mano doble;9;Mataderos;97.90;2024;mañana;39
9624;SAN MARTIN;Ciclovías mano doble;1;San Nicolas;129.98;2024;mañana;89
14852;AZOPARDO;Ciclovías mano doble;1;San Telmo;110.57;2024;mañana;0
4354;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;173.14;2024;mañana;245
23416;PATRON;Ciclovías mano doble;9;Liniers;103.56;2024;mañana;48
12002;ALSINA, ADOLFO;Ciclovías mano única;1;Monserrat;134.50;2024;mañana;0
2225;ECHEVERRIA;Ciclovías mano doble;13;Belgrano;45.57;2024;mañana;78
13039;DIAZ, CESAR, GRAL.;Ciclovías mano doble;11;Villa Santa Rita;65.58;2024;mañana;48
21168;POLA;Ciclovías mano doble;9;Liniers;147.72;2024;mañana;39
4143;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;25.83;2024;mañana;245
13278;MENDEZ DE ANDES;Ciclovías mano doble;6;Caballito;16.95;2024;mañana;108
7881;ALVAREZ, JULIAN;Ciclovías mano doble;14;Palermo;134.86;2024;mañana;86
14873;DIAZ, CESAR, GRAL.;Ciclovías mano doble;10;Floresta;114.87;2024;mañana;48
27657;MILLER;Ciclovías mano doble;12;Saavedra;15.43;2024;mañana;47
16347;MORON;Ciclovías mano doble;10;Floresta;136.80;2024;mañana;55
3658;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;94.31;2024;mañana;245
6038;HUMBOLDT;Ciclovías mano doble;14;Palermo;121.43;2024;mañana;226
12669;FRAGATA PRES. SARMIENTO;Ciclovías mano doble;6;Caballito;127.30;2024;mañana;40
17959;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;27.20;2024;mañana;23
11506;TRES ARROYOS;Ciclovías mano doble;6;Caballito;96.17;2024;mañana;145
4740;MARTINEZ, ENRIQUE, GRAL.;Ciclovías mano doble;13;Colegiales;105.06;2024;mañana;15
11053;LAMAS, ANDRES;Ciclovías mano doble;11;Villa Gral. Mitre;133.50;2024;mañana;53
11399;BOLIVAR;Ciclovías mano doble;1;Monserrat;6.96;2024;mañana;25
6172;GRIVEO;Ciclovías mano doble;12;Villa Pueyrredon;75.69;2024;mañana;33
11673;TRES ARROYOS;Ciclovías mano doble;11;Villa Gral. Mitre;131.74;2024;mañana;145
29974;SOLER;Ciclovías mano doble;14;Palermo;107.48;2024;mañana;29
6554;GRIVEO;Ciclovías mano doble;11;Villa Devoto;153.17;2024;mañana;33
10803;LAMAS, ANDRES;Ciclovías mano doble;11;Villa Gral. Mitre;132.97;2024;mañana;53
2443;PEDRAZA, MANUELA;Ciclovías mano doble;12;Villa Urquiza;100.08;2024;mañana;28
2508;MILLER;Ciclovías mano doble;12;Villa Urquiza;144.14;2024;mañana;47
10238;SARMIENTO;Ciclovías mano doble;1;San Nicolas;128.74;2024;mañana;85
7713;SUIPACHA;Ciclovías mano doble;1;Retiro;138.89;2024;mañana;214
11521;URIBURU JOSE E., PRES.;Ciclovías mano doble;3;Balvanera;135.18;2024;mañana;106
14587;CALVO, CARLOS;Ciclovías mano doble;3;San Cristobal;120.44;2024;mañana;122
5345;LA PAMPA;Ciclovías mano doble;12;Villa Urquiza;96.90;2024;mañana;245
12682;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Almagro;72.96;2024;mañana;52
17734;BILBAO, FRANCISCO;Ciclovías mano doble;7;Parque Chacabuco;58.19;2024;mañana;3
12666;DIAZ, CESAR, GRAL.;Ciclovías mano doble;11;Villa Santa Rita;142.78;2024;mañana;48
10071;BILLINGHURST;Ciclovías mano doble;5;Almagro;129.05;2024;mañana;0
9348;TUCUMAN;Ciclovías mano doble;3;Balvanera;133.45;2024;mañana;125
22133;POLA;Ciclovías mano doble;9;Liniers;71.66;2024;mañana;39
8257;ALVEAR, MARCELO T. DE;Ciclovías mano doble;1;Retiro;140.49;2024;mañana;73
2097;SUPERI;Ciclovías mano doble;12;Coghlan;104.34;2024;mañana;245
16891;DEAN FUNES;Ciclovías mano doble;3;San Cristobal;101.11;2024;mañana;57
7505;SUIPACHA;Ciclovías mano doble;1;Retiro;156.27;2024;mañana;214
3143;SUPERI;Ciclovías mano doble;13;Belgrano;129.19;2024;mañana;245
17034;BRASIL;Ciclovías mano doble;1;Constitucion;82.17;2024;mañana;41
363;SUPERI;Ciclovías mano doble;12;Saavedra;100.68;2024;mañana;245
15538;RINCON;Ciclovías mano doble;3;San Cristobal;119.95;2024;mañana;0
11529;LAMAS, ANDRES;Ciclovías mano doble;11;Villa Gral. Mitre;109.45;2024;mañana;53
13873;CEVALLOS, VIRREY;Ciclovías mano doble;1;Monserrat;140.36;2024;mañana;172
7834;BILLINGHURST;Ciclovías mano doble;2;Recoleta;135.91;2024;mañana;0
17677;DEAN FUNES;Ciclovías mano doble;4;Parque Patricios;108.13;2024;mañana;57
17921;15 DE NOVIEMBRE DE 1889;Ciclovías mano doble;4;Parque Patricios;310.48;2024;mañana;28
6750;AZCUENAGA;Ciclovías mano doble;2;Recoleta;125.14;2024;mañana;116
13958;MEXICO;Ciclovías mano doble;3;Balvanera;143.63;2024;mañana;130
16988;PAVON;Ciclovías mano doble;3;San Cristobal;88.20;2024;mañana;32
370;CUBA;Ciclovías mano doble;13;Nuñez;83.55;2024;mañana;9
14251;AZOPARDO;Ciclovías mano doble;1;San Telmo;124.00;2024;mañana;0
18157;BONIFACIO, JOSE;Ciclovías mano doble;7;Flores;129.04;2024;mañana;37
15855;RUIZ DE LOS LLANOS;Ciclovías mano doble;10;Versalles;6.76;2024;mañana;12
17462;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Boedo;138.52;2024;mañana;52
14876;RINCON;Ciclovías mano doble;3;San Cristobal;125.01;2024;mañana;0
5588;ROSETI;Ciclovías mano doble;15;Chacarita;103.76;2024;mañana;67
3707;BLANCO ENCALADA;Ciclovías mano doble;12;Villa Urquiza;123.11;2024;mañana;76
6290;NUEVA YORK;Ciclovías mano doble;15;Agronomia;63.93;2024;mañana;5
24261;POLA;Ciclovías mano doble;9;Mataderos;114.62;2024;mañana;39
19052;BONIFACIO, JOSE;Ciclovías mano doble;10;Floresta;104.91;2024;mañana;37
5107;ROSETI;Ciclovías mano doble;15;Chacarita;96.72;2024;mañana;67
17871;ESTRADA;Ciclovías mano doble;7;Parque Chacabuco;50.96;2024;mañana;23
16684;PAVON;Ciclovías mano doble;3;San Cristobal;12.63;2024;mañana;32
9765;HUMAHUACA;Ciclovías mano doble;5;Almagro;100.23;2024;mañana;202
6891;ALVAREZ, JULIAN;Ciclovías mano doble;14;Palermo;135.29;2024;mañana;86
3625;BLANCO ENCALADA;Ciclovías mano doble;12;Villa Urquiza;96.57;2024;mañana;76
11103;SAN MARTIN;Ciclovías mano doble;1;San Nicolas;129.81;2024;mañana;89
17395;LINIERS VIRREY;Ciclovías mano doble;5;Boedo;127.58;2024;mañana;0
15965;TREINTA Y TRES ORIENTALES;Ciclovías mano doble;5;Boedo;81.86;2024;mañana;52
29868;ARENALES;Ciclovías mano doble;1;Retiro;32.71;2024;mañana;82
11348;FRAGATA PRES. SARMIENTO;Ciclovías mano doble;6;Caballito;172.38;2024;mañana;40
16019;DEAN FUNES;Ciclovías mano doble;3;San Cristobal;171.63;2024;mañana;57
