id,grupo,edad,ingreso,gasto,cumplio,region,fecha
92,A,24,116219.1,45531.67,0,Sur,2024-04-01
93,A,53,110636.96,95335.0,1,Sur,2024-04-02
94,C,25,87719.6,93830.11,1,Sur,2024-04-03
95,A,41,100862.27,89984.47,1,Sur,2024-04-04
96,A,30,130557.84,93197.12,1,Norte,2024-04-05
97,A,35,87302.14,60124.01,1,Sur,2024-04-06
98,C,52,70235.01,93708.29,0,Centro,2024-04-07
99,A,28,98561.28,70113.35,1,Centro,2024-04-08
100,A,25,141000.13,35734.52,1,Sur,2024-04-09
101,C,35,164532.28,81033.43,1,Sur,2024-04-10
102,C,48,103064.61,64806.06,1,Centro,2024-04-11
103,C,22,81279.28,104458.7,1,Centro,2024-04-12
104,A,39,111421.77,74845.76,1,Norte,2024-04-13
105,C,55,124596.39,80820.94,0,Centro,2024-04-14
106,C,38,134447.43,87005.23,1,Centro,2024-04-15
107,A,45,173366.03,75186.79,0,Sur,2024-04-16
108,C,22,125671.22,78130.86,0,Centro,2024-04-17
109,A,38,161386.54,95184.33,0,Norte,2024-04-18
110,B,39,108426.86,60806.21,1,Centro,2024-04-19
111,C,51,122164.15,67367.36,1,Sur,2024-04-20
112,B,26,105177.93,62592.0,1,Sur,2024-04-21
113,A,52,102999.89,105861.58,1,Centro,2024-04-22
114,C,59,113414.85,67369.4,0,Sur,2024-04-23
115,A,58,112983.63,77420.9,0,Norte,2024-04-24
116,B,37,104900.6,69189.12,0,Norte,2024-04-25
117,A,59,106268.68,74452.8,0,Centro,2024-04-26
118,C,20,147419.91,66726.27,1,Centro,2024-04-27
119,C,30,172827.8,88329.04,1,Centro,2024-04-28
120,B,47,107539.83,61264.7,1,Sur,2024-04-29
